City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
239,San Javier,ES,73.13,broken clouds,37.8063,-0.8374,Hotel Mar Menor
241,Kaliua,TZ,74.77,overcast clouds,-5.0606,31.7936,Millennium Complex
245,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
248,Mount Isa,AU,71.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
252,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
266,Ormara,PK,79.93,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
268,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
269,Rach Gia,VN,77.7,overcast clouds,10.0167,105.0833,Hòa Bình Rạch Giá Resort
270,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
272,Sola,VU,79.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
274,Raga,SS,74.05,broken clouds,8.4596,25.678,
277,Daru,PG,77.32,overcast clouds,-9.0763,143.2092,Daru Lodge
280,Caravelas,BR,74.77,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
283,Ler,SS,72.16,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
289,Gushikawa,JP,72.99,overcast clouds,26.3544,127.8686,Kirari Guest House
291,Naze,JP,70.72,clear sky,28.3667,129.4833,Shishime Hotel
292,San Quintin,MX,79.09,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
293,Moerai,PF,72.97,clear sky,-22.4333,-151.3333,Le Manotel
294,Anzio,IT,71.01,clear sky,41.4853,12.6179,Hotel Lido Garda
298,Wajir,KE,78.87,broken clouds,1.7471,40.0573,Mahatallah Hotel
304,Porto Seguro,BR,77.52,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
310,Itarema,BR,79.25,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
311,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
